name,yelp_id,categories,rating,address,latitude,longitude,price,review_count,is_closed,distance
Afghan Horsemen Restaurant,1tJ25j22FXmkuQQW0F_Qfg,"Middle Eastern, Afghan, Kebab",3.9,"['1833 Anderson Street', 'Suite 202', 'Vancouver, BC V6H 4E5', 'Canada']",49.2694847203493,-123.138735294342,$$,264,False,250.92070268838626
Delhi 6 Indian Bistro,usO5eH44mmub9p_pH95OkQ,Indian,4.4,"['1766 W 7th Avenue', 'Vancouver, BC V6J 4Z9', 'Canada']",49.2653386,-123.1449329,$$,146,False,1033.6694317216861
Browns Crafthouse UBC,_AiT0bbQLTHXVSzsrbPg9A,Bars,4.4,"['6111 University Blvd', 'Vancouver, BC V6T 0C7', 'Canada']",49.2661235,-123.2483732,N/A,35,False,57.15446555850169
Seasons In the Park,l2f2PU8Rtr5TPtzwaGQ_sA,Seafood,4.0,"['Queen Elizabeth Park', 'Cambie Street W 33rd Avenue', 'Vancouver, BC V5Y 2M5', 'Canada']",49.2416705486198,-123.112535476685,$$$,566,False,998.4610205388093
Salade de Fruits Cafe,IKXFu9H6ngGOS2JRmfmjlw,French,4.2,"['1551 West 7th Avenue', 'Vancouver, BC V6J 1S1', 'Canada']",49.2655161,-123.1401237,$$,185,False,152.6266359170903
Mercante,JXHMyTTBzl90VGDInFlAlQ,"Pizza, Coffee & Tea, Italian",3.3,"['6488 University Boulevard', 'Vancouver, BC V6T', 'Canada']",49.2633894,-123.2560419,$$,80,False,107.33242879717349
Takenaka,rRb2CvNCNWyPSQdeVme9-Q,Japanese,4.3,"['1370 East Georgia Street', 'Vancouver, BC V5L 2A8', 'Canada']",49.2783093,-123.0755801,N/A,97,False,259.34392022473327
Hello Nori ,RckRmOcX7OtMUDC40Cz3lg,"Japanese, Sushi Bars, Coffee & Tea",4.5,"['1165 Robson Street', 'Vancouver, BC V6E 1B5', 'Canada']",49.28559747478766,-123.1261163,$$,266,False,202.1098589985346
Fable Kitchen,p5thThuUITUjAy8gS3sPMw,Canadian (New),4.3,"['1944 W 4th Avenue', 'Vancouver, BC V6J 1M5', 'Canada']",49.2679331,-123.149019,$$,791,False,956.6591646105637
Cardero's Restaurant & Marine Pub,fQgcJKblBBqx5Niqp8rs3g,"Seafood, Cajun/Creole, Canadian (New)",3.9,"['1583 Coal Harbour Quay', 'Vancouver, BC V6G 3E7', 'Canada']",49.2914561357511,-123.127575841549,$$$,715,False,154.03664581370003
Miku,4EV_ZcQmjAmP3pmO-_nb2A,"Japanese, Sushi Bars",4.4,"['200 Granville Street', 'Suite 70', 'Vancouver, BC V6C 1S4', 'Canada']",49.28691298612272,-123.11304877258942,$$$,2379,False,204.5202350397437
Salmon n' Bannock,drhJnjLFI8wsbvOMaVFDSA,Canadian (New),4.5,"['1128 W Broadway', 'Unit 7', 'Vancouver, BC V6H 1G5', 'Canada']",49.2631378,-123.1296705,$$,236,False,209.05930703776215
La Taqueria Pinche Taco Shop,6iOAgzJ0DRZNSKA3FSrrOg,Mexican,4.2,"['2450 Yukon Street', 'Vancouver, BC V5Z 3V6', 'Canada']",49.263617,-123.112593,$$,697,False,303.9747378189474
Vij's Restaurant,raZ-NDBs9S1j9fPONh4fWw,Indian,4.0,"['3106 Cambie Street', 'Vancouver, BC V5Z 2W2', 'Canada']",49.25754,-123.11479,$$$,437,False,424.5650672407545
Pink Peppercorn Seafood House,52o82-XanIGhqQySWbiuPg,Seafood,4.3,"['1485 Kingsway', 'Vancouver, BC V5N 2R6', 'Canada']",49.2493583,-123.0739159,$$$,159,False,548.9324138782509
Chewies Steam & Oyster Bar - Kits,M4jkJHewQXZvDV34Tuon8g,"Seafood, Cajun/Creole",3.6,"['2201 W 1st Avenue', 'Vancouver, BC V6K 1E9', 'Canada']",49.2709727,-123.1552829,$$,296,False,271.0274587735539
Ancora Waterfront Dining and Patio,uuXiaNDeUySh9NSbSRuEYQ,"Seafood, Japanese, Peruvian",4.1,"['1600 Howe Street', 'Vancouver, BC V6Z 2L9', 'Canada']",49.273853456158875,-123.13257765112428,$$$$,240,False,191.82401007390376
